"ID_org","organization name","Address","Postal Code","City","Country"
"Row10115","Fast Forward Pharmaceuticals Bv","Yalelaan 46",,"Utrecht","NL"
"Row10117","Fastems Oy Ab","Tuotekatu",,"Tampere","FI"
"Row10119","Fastlite Sarl","Rue Croulebarbe 45",,"Paris","FR"
"Row1012","Airbus Sas","Rd Point Maurice Bellonte",,"Blagnac","FR"
"Row10120","Fastnet Mussels Ltd","Gearhies",,"Bantry","IE"
"Row10124","Fater S.P.A.","Via A. Volta 10",,"Pescara","IT"
"Row10125","Fatih Universitesi","Hadimkoy Yolu Akcaburgaz Mev",,"Istanbul","TR"
"Row10126","Fatland Jaeren As","Hommersakveien 250",,"Hommersak","NO"
"Row10129","Faude Automatisierungstechnik","Max Planck Strasse 10",,"Gartringen","DE"
"Row1013","Airbus Uk Limited","New Filton House, Filton",,"Bristol","GB"
"Row10130","Faun - Stiftung Nurnberg","Hans Sachs Platz 4",,"Nuernberg","DE"
"Row10131","Faurecia Autositze Gmbh","Nordsehler Strasse 38",,"Stadthagen","DE"
"Row10132","Faurecia Emissions Control Technologies Germany Gmbh","Biberbachstrasse 9",,"Augsburg","DE"
"Row10133","Faurecia Interior Systems Salc Espana S.L.","Autovia A-3 Madrid-valencia",,"Quart De Poblet","ES"
"Row10134","Faurecia Sièges D'automobile","Rue Hennape",,"Nanterre","FR"
"Row10135","Faurecia Systemes D Echappement Sas","Rue Hennape 2",,"Nanterre","FR"
"Row10136","Faust Und Backhaus Environmental Consulting Gbr","Fahrenheitstrasse 1",,"Bremen","DE"
"Row1014","Airbusgroup Limited","The Strand 111",,"London","GB"
"Row10140","Fcc Construccion Sa","Calle Balmes",,"Barcelona","ES"
"Row10141","Fcc Servicios Industriales Y Energeticos Sa","Calle Acanto 22",,"Madrid","ES"
"Row10142","Fcs Digiteo Triangle De La Physique","Les Algorithmes, Bâtiment Euripide Route De L'orme Aux Merisiers Rn 128",,"Saint Aubin","FR"
"Row10143","Fct Ingenieurkeramik Gmbh","Gewerbepark 11",,"Effelder Rauenstein","DE"
"Row10144","Fct Systeme Gmbh","Gewerbepark 16",,"Rauenstein","DE"
"Row10145","Fcubic Ab","Vadursgatan 4c",,"Goeteborg","SE"
"Row10147","Febe Ecologic - Studio Associato Di Consulensa E Formazione Ambientale","Via Canalazzo 44",,"Ravenna","IT"
"Row10148","Fech Fenstertechnik Gmbh & Co. Kg","Feldbach",,"Buttenwiesen","DE"
"Row10149","Federaal Planbureau","Avenue Des Arts",,"Bruxelles","BE"
"Row10150","Federacao Das Industrias Portuguesas Agro-alimentares","Rua Da Junqueira-- Edifício Rosa 1º Piso 39",,"Lisboa","PT"
"Row10151","Federacao Nacional Dos Apicultores De Portugal","Av. Do Colã©gio Militar, Lote 1786",,"Lisboa","PT"
"Row10152","Federacio Territorial De Confrariesde Pescadors De Girona","Moll Pescuer",,"Llanca Girona","ES"
"Row10153","Federacion Andaluza De Asociaciones De Ganado Caprino De Raza Pura, Cabrandalucia","Caserio De San Pedro S/n",,"Albolote","ES"
"Row10154","Federacion Andaluza De Empresas Cooperativas Agrarias Coop","Calle Demetrio De Los Rios 15",,"Sevilla","ES"
"Row10155","Federacion Argentina De Cardiologia","Bulnes 1004",,"Buenos Aires","AR"
"Row10156","Federacion De Arroceros De Sevilla","Avenida San Francisco Javier 9-3",,"Sevilla","ES"
"Row10157","Federacion De Asociaciones De Latinoamerica El Caribe Y Espana De Entidades De Tecnologias De La Informacion","400 Mts Sur Y 75 Mts Este De La Escuela Rosevelt",,"San Pedro De Montes De Oca","CR"
"Row10158","Federacion De Camaras Y Asociaciones Industriales Centroamericanas","Diagonal 6, Centro Gerencial Las Margaritas, Torre Ii Oficina 1102",,"Ciudad De Guatemala","GT"
"Row10159","Federacion De Cooperativas Agrariasde Murcia S Coop","Calle Caballero 13",,"Murcia","ES"
"Row1016","Airconfort S.L.","Calle El Campon, Penacastillo",,"Santander","ES"
"Row10161","Federacion Empresarial De La Industria Quimica Espanola","Hermosilla 31",,"Madrid","ES"
"Row10162","Federacion Empresarial Metalurgicavalenciana","Avenida Blasco Ibanez",,"Valencia","ES"
"Row10163","Federacion Espanola De Asociaciones De Ganado Selecto","Calle Castello 45",,"Madrid","ES"
"Row10165","Federacion Espanola De La Piedra Natural","Paso De La Casellana 123",,"Madrid","ES"
"Row10167","Federacion Galega De Confrarias De Pescadores","Calle Palmeiras Nave 84 A 1",,"Ames","ES"
"Row10168","Federacion Internacional Para La Orientacion Familiar (fiof) Asociacion","Calle Rufino Blanco 8 3 B",,"Madrid","ES"
"Row10169","Federacion Nacional De Comunidades De Regantes","Paseo De La Habana 26 Planta 2",,"Madrid","ES"
"Row1017","Aircraft Development And Systems Engineering (adse) B.V.","Scorpius 90",,"Hoofddorp","NL"
"Row10170","Federacion Vizcaina De Empresas Del Metal","Plaza De Euskadi 9 Bajo",,"Bilboa","ES"
"Row10171","Federación Aragonesa De Cooperativas Agrarias","Carretera De Cogullada 65 Centro",,"Zaragoza","ES"
"Row10172","Federación Provincial De Empresarios Del Metal Y Nuevas Tecnologías De Santa Cruz De Tenerife Asociation","Avenida De Las Asuncionistas 10, 1°",,"Santa Cruz De Tenerife","ES"
"Row10173","Federación Regional De Empresarios Del Metal De Murcia","Calle Del Metal",,"Murcia","ES"
"Row10174","Federal Agency For Nuclear Control","Ravensteinstraat 36",,"Brussels","BE"
"Row10175","Federal Department For Environment Transports Energy And Communication","Bundeshaus Nord",,"Bern","CH"
"Row10176","Federal Enterprise Lavochkin Association","Leningradskaya Street 24",,"Khimki","RU"
"Row10177","Federal Hydrometeorology Institute","Bardakcije 12",,"Sarajevo","BA"
"Row10178","Federal Ministry Of Science And Technology","Federal Secretariat Towers Shehu Shagari Way Central Area",,"Abuja","NG"
"Row10179","Federal Mogul Sintered Products Limited","Styal Road Manchester Int Office Centre",,"Manchester","GB"
"Row1018","Aircraft Industries, A.S.","Na Zahonech 1177",,"Kunovice","CZ"
"Row10180","Federal Mogul Systems Protection","Rue Henri Laroche 69",,"Crãpy En Valois","FR"
"Row10181","Federal Office For Professional Education And Technology","Effingerstrasse",,"Bern","CH"
"Row10182","Federal Office Of Public Health","Bollwerk",,"Bern","CH"
"Row10185","Federal State Budgetary Educational Institution Of Higher Professional Eductaion State University Of Management","Ryazansky Prospect 99",,"Moskva","RU"
"Row10186","Federal State Budgetary Institution Of Higher Professional Education And Science Saint Petersburg Academic University-nanotechnology Research And Education Centre Of The Russian Academy Of Sciences","Khlopina 8/3",,"St. Petersburg","RU"
"Row10187","Federal State Budgetary Institution Of Science Polar Geophysical Institute Of The Kola Science Center Of The Russian Academy Of Science","Khalturina Street 15",,"Murmansk","RU"
"Row10188","Federal State Budgetary Institution Of Science The Institute For The Study Of Science Of Russian Academyof Sciences","Garibaldi Street",,"Moscow","RU"
"Row1019","Aircraft Research Association Limited","Manton Lane",,"Bedford","GB"
"Row10191","Federal State Educational Budget Institution Of Higher Vocational Training Moscow State University Of Geodesy And Cartography","Gorokhovsky 4",,"Moskva","RU"
"Row10192","Federal State Educational Establishment Of Higher Professional Education Russian State Agrarian University-moscow Timiryazev Agricultural Academy","Timiryazevskaya Ulitsa",,"Moskva","RU"
"Row10193","Federal State Educational Institution Of Higher Professional Education Moscow State Academy Of Veterinary Medicine And Biotechnologies Named After K.I. Skryabin","Academic Scriabin Street Build23",,"Moscow","RU"
"Row10194","Federal State Institution Of Science Urals Research Center For Radiation Medicine Federal Medical-biological Agency","Vorovsky 68-a",,"Chelyabinsk","RU"
"Row10195","Federal State Institution Saint Petersburg Research Institute Of Phthisiopulmonology Of The Federal Agency For High Technology Medical Aid","Ligovsky Prospekt 2-4",,"St. Petersburg","RU"
"Row10196","Federal State Organisation All-russian Plant Quarantine Centre","Ulitsa Pogranichnaya 32",,"Bykovo","RU"
"Row10197","Federal State Unitary Enterprise All-russian Electrotechnical Institute Named After V.I. Lenin","Krasnokazarmennaya 12",,"Moscow","RU"
"Row10198","Federal State Unitary Enterprise All-russian Scientific-research Institute Of Aviation Materials","Radio Street 17",,"Moscow","RU"
"Row10199","Federal State Unitary Enterprise Southern Urals Biophysics Institute Of Federal Medicobiological Agency","Ozyorskoe Shosse 19",,"Ozyorsk","RU"
"Row102","A La Prune Lorraine Sarl","Rue De L'eglise",,"Forcelles -saint-gorgon","FR"
"Row1020","Airdolomiti Spa-linee Aeree Regionali Europee","Via Paolo Bembo",,"Villafranca Di Verona","IT"
"Row10200","Federal State Unitary Enterprise State Research And Development Institute Of Aeronavigation","Volokolamskoe Shosse",,"Moskva","RU"
"Row10201","Federal State Unitary Enterprise State Scientific-research Institute Of Genetics And Breeding Of Industrial Microorganisms","1st Dorozhny Proezd",,"Moskva","RU"
"Row10202","Federal State Unitary Enterprise The Central Aerohydrodynamic Institute Named After Prof. N.E. Zhukovsky","Zhukovsky Str 1",,"Zhukovsky","RU"
"Row10203","Federal State Unitary Enterprise central, Order Of The Red Banner, Scientific Research Automobile And Engine Institute","Avtomotornaya",,"Moscow","RU"
"Row10204","Federal State Unitary Enterprise institute Of Aircraft Equipment","Tupoleva Street 18",,"Zhukovsky","RU"
"Row10205","Federal State Unitery Enterprise Gromov Flight Research Institute","Garnaev",,"Zhukovsky","RU"
"Row10207","Federal-mogul Burscheid Gmbh","Buergermeister-schmidt-strasse 17",,"Burscheid","DE"
"Row10208","Federal-mogul Friedberg Gmbh","Engelschalkstrasse 1",,"Friedberg","DE"
"Row10209","Federale Overheidsdienst Buitenlandse Zaken, Buitenlandse Handel En Ontwikkelingssamenwerking","Karmelietenstraat 15",,"Brussels","BE"
"Row10210","Federale Overheidsdienst Volksgezondheid, Veiligheid Van De Voedselketen En Leefmilieu","Place Victor Horta 40 Bte 10",,"Bruxelles","BE"
"Row10211","Federalimentare Servizi Srl","Viale Pasteur 10",,"Roma","IT"
"Row10212","Federalnoe Gosudarstvennoe Unitarnoe Predpriyatie Centralnii Institutaviacionogo Motorostroeniya Imeni Pi Baranova","Aviamotornaya St 2",,"Moskva","RU"
"Row10213","Federalnoe Gosudarstvennoe Unitarnopredpriyatie Tsentralny Nauchno- Issledovatelsky Institut Machinostroeniya","Pionerskaya",,"Korolev","RU"
"Row10214","Federatia Nationala A Sindicatelordin Agricultura Tutun Domenii Si Servicii Conexe Agrostar","Piata Cpt Walter Maracineanu 1 3",,"Bucuresti","RO"
"Row10215","Federatie Palliatieve Zorg Vlaanderen","J. Van Der Vekenstraat",,"Wemmel","BE"
"Row10216","Federatie Textielbeheer Nederland","Molenstraat 2",,"Ophemert","NL"
"Row10217","Federatie Van De Belgische Textielverzorging","Brusselsesteenweg 478",,"Zellik","BE"
"Row10219","Federation De L'industrie Europeenne De La Construction","Rue Washington",,"Paris","FR"
"Row1022","Airlan S.A.","Calle Ribera De Deusto 70",,"Bilbao Vizcaya","ES"
"Row10220","Federation De L'industrie Marbriere Er De L'industrie Granitiere De La Cee - Aisbl","Avenue De L'yser",,"Brussels","BE"
"Row10221","Federation Des Asssociations De Chasse Et Conservation De La Faune Sauvage De L'union Europeenne","Rue Frederic Pelletier",,"Bruxelles","BE"
"Row10223","Federation Des Entreprises De Boulangerie Et Patisserie Francaise Organisme Professionnel","Quai De La Loire 34",,"Paris","FR"
"Row10225","Federation Des Industries Avicoles","Rue De Vaugirard 184",,"Paris","FR"
"Row10226","Federation Europeenne D'associations Et D'industries Pharmaceutiques","Rue Du Trone 108/1",,"Bruxelles","BE"
"Row10227","Federation Europeenne D'associations Nationales Travaillant Avec Les Sans-abri Aisbl","Chaussee De Louvain 194",,"Bruxelles","BE"
"Row10228","Federation Europeenne De La Corrosion Aisbl","Avenue Paul Heger Grille No.2",,"Brussels","BE"
"Row1023","Airlight Limited Sa","Via Croce 1",,"Biasca","CH"
"Row10232","Federation Europeenne Des Fabricants D'additifs Pour La Nutrition Animale","Avenue Louise 120/13",,"Bruxelles","BE"
"Row10233","Federation Europeenne Des Geologues","Rue Claude Bernard 77",,"Paris","FR"
"Row10235","Federation Europeenne Des Travailleurs Du Batiment Et Dubois","Rue Royale",,"Brussels","BE"
"Row10236","Federation Hospitaliere De France","Avenue D'italie 33",,"Paris","FR"
"Row10239","Federation Internationale Des Societes De La Croix-rouge Et Du Croissant-rouge - Shelter Research Unit","Boulevard Joseph Ii 44",,"Luxembourg","LU"
"Row10240","Federation Internationale Du Diabete","Chaussee De La Hulpe 166",,"Bruxelles","BE"
"Row10243","Federation Nationale Chanvre Association*fnpc","Rue Paul Ligneul 20",,"Le Mans","FR"
"Row10244","Federation Nationale De L' Aviation Marchande","Rue De Chateaudun",,"Paris","FR"
"Row10245","Federation Nationale Des Observatoires Regionaux De La Sante","Boulevard Garibaldi 62",,"Paris","FR"
"Row10246","Federation Of Aluminium Consumers In Europe Union Professionnelle","Rue Faider 18",,"Bruxelles","BE"
"Row10247","Federation Of European Companion Animal Veterinary Associations","Rue De Berri",,"Paris","FR"
"Row10248","Federation Of European Materials Societies","Rue Du Mont Saint Alban 67",,"Bruxelles","BE"
"Row1025","Airnet Trgovina In Storitve D.O.O.","Ljubljanska Cesta 62",,"Celje","SI"
"Row10250","Federation Of European Scleroderma Associations Aisbl","Le Versailles, Avenue Des Etats-unis 20, Boite 32",,"Tournai","BE"
"Row10251","Federation Of European Union Fire Officer Associations","Boulevard Du General Patton 112",,"Luxembourg","LU"
"Row10253","Federation Of Finnish Learned Societies","Mariankatu",,"Helsinki","FI"
"Row10254","Federation Of Greek Industries","Xenofontos 5",,"Athens","EL"
"Row10255","Federation Of Hellenic Information Technology And Communication Entreprises","Frantzi 19",,"Athina","EL"
"Row10258","Federation Of Industries Of Northern Greece","Morichovou Square 1",,"Thessaloniki","EL"
"Row10259","Federation Of Sri Lankan Local Government Authorities","Gothami Road 22 Borella",,"Colombo","LK"
"Row1026","Airone Societa Cooperativa Sociale Onlus","Via Chico Mendez",,"Erbusco","IT"
"Row10260","Federation Of The European Sporting Goods Industry","Rue Belliard",,"Brussels","BE"
"Row10262","Federation Patronale De La Boulangerie Et B.-patiserie Du Bas-rhin","Quai St. Thomas",,"Strasbourg","FR"
"Row10263","Federation Regionale Des Centres D'initiatives Pour Valoriser L'agriculture Et Le Milieu","17, Rue Du Bas Village",,"Cesson Sevigne","FR"
"Row10264","Federation Regionale Des Cooperative D'utilisation De Materiel Agricole De Rhone-alpes","Chemin Des Grabelieres",,"Saint Genis Laval","FR"
"Row10265","Federazione Apicoltori Italiani","Corso Vittorio Emanuele Ii",,"Roma","IT"
"Row10266","Federazione Italiana Dell Industriaalimentare Associazione","Viale Pasteur 10",,"Roma","IT"
"Row10267","Federmobilita - Forum Per Il Governo Regionale Locale E Urbano Delle Mobilita Sostenibile","Piazza Cola Di Rienzo",,"Roma","IT"
"Row10269","Feed Control Norge As","Fabrikkgaten 5",,"Bergen","NO"
"Row10271","Fegemu Automatismos","C/ Zuatzu Edificio Igeldo. Locales 12-13",,"San Sebastian","ES"
"Row10272","Fei Electron Optics Bv","Achtseweg Noord Gebouw Aae 5",,"Eindhoven","NL"
"Row10274","Feiraco Lacteos Sl","Lugar De Puente Maceira Agron Sn",,"Ames A Coruna","ES"
"Row10275","Feisty Productions Limited","Jamesfield Farmhouse",,"Cupar","GB"
"Row10276","Felag Islenskra Sjukrathjalfara Felagasamtok","Engjavegi 6",,"Reykjavik","IS"
"Row10277","Feldman Enterprises Limited","Angiou Pavlou",,"Nicosia","CY"
"Row10278","Feldt's Fisk Och Skaldjur Aktiebolag","Roparebacken",,"Kungshamn","SE"
"Row1028","Airrobot Gmbh & Co Kg","Werler Strasse 4",,"Arnsberg","DE"
"Row10281","Feller Engineering Gmbh*","Carl Zeiss Strasse 14",,"Rodermark","DE"
"Row10282","Felleskjopet Agri Sa","Flyporten",,"Gardermoen","NO"
"Row10283","Felsilab Srl","Via Cesare Correnti 3 D E",,"Bologna","IT"
"Row10284","Femia - Forum Euro-mediterraneen Pour L'innovation En Action","Rue De La Perouse 37",,"Paris","FR"
"Row10286","Femto Engineering Srl","Localita Ponterotto, Via Etruria",,"San Casciano In Val Di Pesa","IT"
"Row10287","Femtogrid Energy Solutions Bv","Pedro De Medinalaan 11",,"Amsterdam","NL"
"Row1029","Airshipvision International Sa","Rue Galilee 6",,"Paris","FR"
"Row10291","Fen Minerals As","Sommerrogaten 13-15",,"Oslo","NO"
"Row10292","Fen Srl","Via Rossano",,"Tezze Sul Brenta","IT"
"Row10293","Fenareg - Federacao Nacional De Regantes De Portugal","Rua 5 De Outuro 14",,"Coruche","PT"
"Row10294","Fenavian Vzw","Leestdorp 3",,"Leest","BE"
"Row10295","Fenco Spa","Viale Mentana 45",,"Parma","IT"
"Row10296","Feng Chia University Association","Wen Hua Road 100 Xitun",,"Taichung","TW"
"Row10298","Fenix Tnt Sro","Dusikova",,"Brno","CZ"
"Row103","A R W - Abfallmanagement Gmbh","Kahrweg 7",,"Muehldorf Bei Feldbach","AT"
"Row1030","Airspeed Communications Limited","Magna Drive",,"Dublin","IE"
"Row10300","Fentech Ag","Spluegenstrasse 9",,"St. Gallen","CH"
"Row10301","Ferlam Technologies Sas","Rue Monge 85",,"Roubaix","FR"
"Row10302","Fermax Electronica Sa","Avenida Tres Cruces 133",,"Valencia","ES"
"Row10303","Ferme Marine Du Douhet Sas","Port Du Douhet",,"La Bree Les Bains","FR"
"Row10304","Fermentalg Sa","Rue Riviere 4",,"Libourne","FR"
"Row10305","Fermentas Uab","V.Graiciuno",,"Vilnius","LT"
"Row10306","Fermented Product Partner","Rue Herman Meganck 21",,"Gembloux Les Isnes","BE"
"Row10307","Fermion Oy","Koivu-mankkaantie",,"Espoo","FI"
"Row10308","Fernando Dominguez Slu","Calle Padre Jose Aguirre 6 Poligono",,"Calahorra","ES"
"Row1031","Airtel Atn Ltd.","The Forum, Glasthule Road 29",,"Glasthule","IE"
"Row10310","Ferrari Costruzioni Meccaniche Srl","Strada Squadri 6",,"Guidizzolo","IT"
"Row10313","Ferrari Stephen Mario","Feldguetliweg 152",,"Feldmeilen","CH"
